amount_tweeted,created_at,language,location,primary_geo,screen_name,text_tweet,timestamp,ts,user_id,borough
2.0,Mon Apr 16 17:00:04 +0000 2018,en,"London, England","Kensington, London, United Kingdom",londonparchment,"This, I want, for my desk. https://t.co/T6untSiTfK",1523898004741,,585942853.0,Kensington and Chelsea
4.0,Mon Apr 16 17:00:06 +0000 2018,pt,"London, England","Tottenham, London, United Kingdom",mmadureirav,É por isto que nunca vou ser rica https://t.co/cuikPXgpGo,1523898006257,,9.735338527307858e+17,Haringey
1.0,Mon Apr 16 17:00:07 +0000 2018,en,"East London, England ","Hackney, London, United Kingdom",Ricky_T95,Legend ?? https://t.co/Xs47g7L5RV,1523898007128,,430089316.0,Hackney
2.0,Mon Apr 16 17:00:07 +0000 2018,en,,"Ealing, London, United Kingdom",BenJaneUK,"Great training session today on the use of #SurfacePro4 and #Windows10, delivered to all staff by @Primarymrsw. Lot https://t.co/qUl3H1dhnO",1523898007898,,8.851825386622444e+17,Ealing
1.0,Mon Apr 16 17:00:08 +0000 2018,en,United Kingdom,"51.5165099, -0.08451",angieberryshop,"It's a new week people, never too late to set those goals and work towards them. https://t.co/lGOsIDHzro",1523898008690,,3030922997.0,City of London
2.0,Mon Apr 16 17:00:09 +0000 2018,en,South London and Selhurst Park,"Eltham, London, United Kingdom",andy_lucey,@Nelson_Muntz23 She got the 1... really wanted @anne_hegerty to catch them though. What a run she had.,1523898009012,,381783190.0,Greenwich
1.0,Mon Apr 16 17:00:09 +0000 2018,en,Isleworth Middlesex,"Hounslow, London, United Kingdom",HounslowChamCEO,This is outrageous. To get as far as Amber Rudd having appologise for a civil service that is clearly morally bankr https://t.co/sINMtRMry5,1523898009615,,1731305665.0,Hounslow
1.0,Mon Apr 16 17:00:11 +0000 2018,en,,"Merton, London, United Kingdom",HannamSharon,@LeighDingley @ITVChase I was rooting for the Chaser too ?,1523898011657,,2211827135.0,Merton
8.0,Mon Apr 16 17:00:15 +0000 2018,en,"London, England","Wandsworth, London, United Kingdom",poppedamolly_x,Wait I'm just deeping that I'm being made to look like a villain because I want MY money back... should I even have https://t.co/tB78vTFSHp,1523898015948,,243294659.0,Wandsworth
1.0,Mon Apr 16 17:00:16 +0000 2018,fr,"London, England, Kin,Tshikapa ","Croydon, London, United Kingdom",bedelmande,@MamyKanku @iamsdkh @guyntoto @jmulongoy @marcelntambwe1 @KAPAJIKAbenjam1 Prétentieux comment argument et manque de respect aux électeurs,1523898016093,,102255891.0,Croydon
6.0,Mon Apr 16 17:00:18 +0000 2018,und,London town England North ,"Enfield, London, United Kingdom",Browndeus,?? https://t.co/YuLAZCYJEs,1523898018424,,7.796524006007194e+17,Enfield
2.0,Mon Apr 16 17:00:18 +0000 2018,en,London,"Lewisham, London, United Kingdom",KimmymayPTID,The government are a bloody disgrace and should be ashamed but wont b cause they dont care ...WELL SAID @DavidLammy https://t.co/un8KgmoxgI,1523898018934,,4849272136.0,Lewisham
2.0,Mon Apr 16 17:00:20 +0000 2018,en,"London, England","51.50837118, -0.10874063",franderin,I'm at Gallery @ Oxo in London https://t.co/O2CuP2llkw,1523898020870,,7.246220263134781e+17,Lambeth
1.0,Mon Apr 16 17:00:22 +0000 2018,en,"London, England","51.50711486, -0.12731805",theweeklycut,"Polka dot fever ? rg: @CHRISELLEtweets @ London, United Kingdom https://t.co/G70BNWJu6X",1523898022354,,4441416616.0,Westminster
3.0,Mon Apr 16 17:00:26 +0000 2018,pl,Warszawa & London,"Lambeth, London, United Kingdom",TheMascator,"@superobserwator @MLukianow @AdamowiczPawel @pisorgpl @ZiobroPL @MorawieckiM Skarbe?ka nie ogarnie, daj spokój. Lew https://t.co/kr8x0NLO6u",1523898026360,,7.007812208006881e+17,Lambeth
1.0,Mon Apr 16 17:00:29 +0000 2018,en,"Suffolk, England","Kensington, London, United Kingdom",ellen_melon_,@90_mile_beach OMGGGG AW THANK YOU ILL DEFO LET YOU KNOW HOW IT GOES????,1523898029623,,3184701311.0,Kensington and Chelsea
5.0,Mon Apr 16 17:00:32 +0000 2018,en,,"Croydon, London, United Kingdom",Girl_Moidges,"Thrilled to work with these fantastic brands in my portfolio, very well deserved to all 3! @SmallBatchCR https://t.co/XdvQgNaw2J",1523898032103,,1560901106.0,Croydon
3.0,Mon Apr 16 17:00:34 +0000 2018,en,"Sofia, Bulgaria","Lewisham, London, United Kingdom",GeryGalabova,"Nowadays, how is nerd not a compliment? @Justice_waul https://t.co/q9CW4Zt0Ie",1523898034396,,214556478.0,Lewisham
1.0,Mon Apr 16 17:00:38 +0000 2018,en,,"Croydon, London, United Kingdom",joshffc_,@NCRIPT @BBCLondonSport And what position would spurs play him?,1523898038055,,4031015128.0,Croydon
8.0,Mon Apr 16 17:00:38 +0000 2018,en,London UK,"Hounslow, London, United Kingdom",AndrewKnight226,@Eddytoad @HuntedTeamNick @_samcorfield @Stulake65 @john3ners Do you have a source for that claim? Because shes bee https://t.co/D7sY95c2ms,1523898038901,,1717521084.0,Hounslow
7.0,Mon Apr 16 17:00:39 +0000 2018,en,"Bexley, London","Crayford, London, United Kingdom",MicheleCruicks1,@AFrenchAuthor One of my favourite,1523898039265,,8.721592024411259e+17,Bexley
3.0,Mon Apr 16 17:00:47 +0000 2018,en,Essex ,"Ilford, London, United Kingdom",Dannylee_1,COYI!!!! ??,1523898047695,,2850985265.0,Redbridge
1.0,Mon Apr 16 17:00:49 +0000 2018,und,At the bar ,"Camberwell, London, United Kingdom",thepubgeek,@charliemcveigh ?,1523898049152,,115628239.0,Southwark
1.0,Mon Apr 16 17:00:53 +0000 2018,en,Creativity is Inevitable,"51.50711486, -0.12731805",KGPerazim,"Presenting kojovandie

It takes a lot to stand out in the Fashion Industry but kojovandie https://t.co/dmK6mXqUch",1523898053031,,488411246.0,Westminster
