user_id,screen_name,created_at,timestamp,text_tweet,amount_tweeted,language,location,primary_geo,borough
2789607056.0,ProforcaTheatre,Thu Apr 19 17:00:02 +0000 2018,1524157202559.0,Delighted to have @em_c_wroe and @MitchellReeve_ back in the family for our performance of #ProforcaFeel next Wedne https://t.co/G9d04o2adY,1.0,en,London,"Hackney, London, United Kingdom",Hackney
2726908793.0,dovelymal,Thu Apr 19 17:00:03 +0000 2018,1524157203701.0,Fun fact pikachu harrassed me,2.0,et,"England, United Kingdom","Trafalgar Square, United Kingdom",Westminster
20500385.0,calvinc83,Thu Apr 19 17:00:03 +0000 2018,1524157203821.0,"I am going through a typical British reaction to two days of warm weather. 

1. Over bought and set up new outdoor https://t.co/AFMWjVzIKF",2.0,en,,"Kingston upon Thames, London, United Kingdom",Kingston upon Thames
1228342933.0,TheEForumAngelM,Thu Apr 19 17:00:04 +0000 2018,1524157204055.0,Come back ?,6.0,en,London,"Camden Town, London, United Kingdom",Camden
213372462.0,spinojix22,Thu Apr 19 17:00:05 +0000 2018,1524157205272.0,The spring heat wave.... I asked for it ?,1.0,en,"Hackney, London","Hackney, London, United Kingdom",Hackney
3639231.0,davidmcdermott,Thu Apr 19 17:00:05 +0000 2018,1524157205892.0,"How the hell it can even go on strike is beyond me, but real shame on you @LondonDLR @TfL for trying to disrupt the marathon #disgrace ??",2.0,en,"London, England","East Ham, London, United Kingdom",Newham
218855384.0,danrickman86,Thu Apr 19 17:00:06 +0000 2018,1524157206088.0,Its getting closer! #nb #newbalance #londonmarathon2018 #heatwave @ ExCeL London https://t.co/Q3DLnDJ00z,1.0,en,,"51.5080414, 0.02394",Newham
896134051.0,CherieW2010,Thu Apr 19 17:00:08 +0000 2018,1524157208672.0,@B25dave @DavidLammy Its one less thing for you to worry about @B25dave ... plenty of people fighting their corner https://t.co/oxKPVfJOKH,1.0,en,"England, United Kingdom","Wandsworth, London, United Kingdom",Wandsworth
146533654.0,damian_mitchell,Thu Apr 19 17:00:08 +0000 2018,1524157208705.0,@MundialMag ? ???,2.0,und,"London, England","Camden Town, London, United Kingdom",Camden
1371390146.0,Cdr_Peter,Thu Apr 19 17:00:09 +0000 2018,1524157209697.0,"@interenglgbt #designingfordiversity @burohappold (@ Buro Happold in London, UK) https://t.co/Q3sA4Sxxdo",1.0,en,London ,"51.51749715, -0.1349629",Westminster
60264677.0,ilkanmielesta,Thu Apr 19 17:00:10 +0000 2018,1524157210970.0,Joka vuosi viimeisen 12 vuoden ajan olen osallistunut vähintään yhteen Tony Robbinsin Live https://t.co/j1pYZctxnL,1.0,fi,"Helsinki, Finland","51.5080414, 0.02394",Newham
402006682.0,NadegeAlezine,Thu Apr 19 17:00:14 +0000 2018,1524157214783.0,"@MissPompette Have a good one, Miss Pompette ??????",1.0,en,Londres,"Kensington, London, Royaume-Uni",Kensington and Chelsea
160315969.0,babbit_janeway,Thu Apr 19 17:00:15 +0000 2018,1524157215007.0,"The sum of my parts. 
????
#GameStruck4 https://t.co/XLkygrP6qT",4.0,en,"South East, England","Wandsworth, London, United Kingdom",Wandsworth
728973018.0,samuelvrose,Thu Apr 19 17:00:16 +0000 2018,1524157216634.0,28 degrees Celsius in April in London! Hottest day in April since 1949! #London https://t.co/aOnbmEFi3A,1.0,en,"Paradise, Newfoundland, Canada","Kensington, London, United Kingdom",Kensington and Chelsea
284510411.0,tvbrez_,Thu Apr 19 17:00:20 +0000 2018,1524157220970.0,Top deck of the bus feels like sitting in an oven,3.0,en,Birmingham/London,"Ealing, London, United Kingdom",Ealing
9.236056854343066e+17,askedtf,Thu Apr 19 17:00:23 +0000 2018,1524157223769.0,"@ItsZetho Whattttttttttttttt
My pc is full of viruses and porn.",14.0,en,,"Hackney, London, United Kingdom",Hackney
