borough,population_2017
City of London,8800
Barking and Dagenham,209000
Barnet,389600
Bexley,244300
Brent,332100
Bromley,327900
Camden,242500
Croydon,386500
Ealing,351600
Enfield,333000
Greenwich,280100
Hackney,274300
Hammersmith and Fulham,185300
Haringey,278000
Harrow,252300
Havering,254300
Hillingdon,301000
Hounslow,274200
Islington,231200
Kensington and Chelsea,159000
Kingston upon Thames,175400
Lambeth,328900
Lewisham,303400
Merton,208100
Newham,342900
Redbridge,304200
Richmond upon Thames,197300
Southwark,314300
Sutton,202600
Tower Hamlets,304000
Waltham Forest,276200
Wandsworth,321000
Westminster,242100
