Area,Borough,PostTown,Postcode,Dialcode
Barking,Barking and Dagenham,BARKING,IG11,20
Becontree,Barking and Dagenham,DAGENHAM,RM9,20
Becontree Heath,Barking and Dagenham,DAGENHAM,RM8,20
Castle Green,Barking and Dagenham,DAGENHAM,RM9,20
Creekmouth,Barking and Dagenham,BARKING,IG11,20
Dagenham,Barking and Dagenham,DAGENHAM,"RM9, RM10",20
Marks Gate,Barking and Dagenham,ROMFORD,RM6,20
Rush Green,Barking and Dagenham,ROMFORD,RM7,20
Arkley,Barnet,"BARNET, LONDON","EN5, NW7",20
Barnet,Barnet,BARNET,EN5,20
Barnet Gate,Barnet,"LONDON, BARNET","NW7, EN5",20
Brent Cross,Barnet,LONDON,"NW2, NW4",20
Brunswick Park,Barnet,LONDON,N11,20
Burnt Oak,Barnet,EDGWARE,HA8,20
"Burroughs, The",Barnet,LONDON,NW4,20
Childs Hill,Barnet,LONDON,NW2,20
Church End,Barnet,LONDON,N3,20
Colindale,Barnet,LONDON,NW9,20
Colney Hatch,Barnet,LONDON,"N11, N10",20
East Barnet,Barnet,BARNET,EN4,20
East Finchley,Barnet,LONDON,N2,20
Edgware,Barnet,EDGWARE,HA8,20
Finchley,Barnet,LONDON,"N2, N3, N12",20
Friern Barnet,Barnet,LONDON,N11,20
Golders Green,Barnet,LONDON,NW11,20
Grahame Park,Barnet,LONDON,NW9,20
Hampstead Garden Suburb,Barnet,LONDON,N2,20
Hendon,Barnet,LONDON,NW4,20
Mill Hill,Barnet,LONDON,NW7,20
Monken Hadley,Barnet,BARNET,EN5,20
New Barnet,Barnet,BARNET,"EN4, EN5",20
New Southgate,Barnet,LONDON,N11,20
North Finchley,Barnet,LONDON,N12,20
Oakleigh Park,Barnet,LONDON,N20,20
Osidge,Barnet,LONDON,N14,20
Temple Fortune,Barnet,BARNET,EN5,20
The Hale,Barnet,LONDON,NW7,20
The Hyde,Barnet,LONDON,NW9,20
Totteridge,Barnet,LONDON,N20,20
West Hendon,Barnet,LONDON,NW9,20
Whetstone,Barnet,LONDON,N20,20
Woodside Park,Barnet,LONDON,N12,20
Cricklewood,"Barnet, Brent, Camden",LONDON,NW2,20
Cockfosters,"Barnet, Enfield",BARNET,EN4,20
Albany Park,Bexley,"BEXLEY, SIDCUP","DA5, DA14",20
Barnehurst,Bexley,BEXLEYHEATH,DA7,1322
Barnes Cray,Bexley,DARTFORD,DA1,1322
Belvedere,Bexley,BELVEDERE,DA17,20
Bexley,Bexley,BEXLEY,DA5,20
Bexleyheath,Bexley,"BEXLEYHEATH, LONDON","DA6, DA7, SE2",20
Blackfen,Bexley,SIDCUP,DA15,20
Blendon,Bexley,BEXLEY,DA 5,20
Colyers,Bexley,ERITH,DA8,1322
Crayford,Bexley,DARTFORD,DA1,1322
Crook Log,Bexley,BEXLEYHEATH,DA6,20
Crossness,Bexley,LONDON,SE2,20
East Wickham,Bexley,WELLING,DA16,20
Erith,Bexley,ERITH,"DA8, DA18",1322
Falconwood,Bexley,"LONDON, WELLING","SE9, DA16",20
Foots Cray,Bexley,SIDCUP,DA14,20
Lamorbey,Bexley,SIDCUP,DA15,20
Lessness Heath,Bexley,BELVEDERE,DA17,20
Longlands,Bexley,"LONDON, SIDCUP","SE9, DA14, DA15",20
North Cray,Bexley,SIDCUP,DA14,20
North End,Bexley,ERITH,DA8,1322
Northumberland Heath,Bexley,ERITH,DA8,1322
Sidcup,Bexley,SIDCUP,"DA14, DA15",20
Slade Green,Bexley,ERITH,DA8,1322
Upton,Bexley,BEXLEYHEATH,DA6,20
Welling,Bexley,WELLING,DA16,20
West Heath,Bexley,LONDON,SE2,20
Ruxley,"Bexley, Bromley","SIDCUP, ORPINGTON","DA14, BR5","020, 01689"
Upper Ruxley,"Bexley, Bromley","SIDCUP, ORPINGTON","DA14, BR5","020, 01689"
Thamesmead,"Bexley, Greenwich","LONDON, ERITH","SE28, SE2, DA18",20
Alperton,Brent,WEMBLEY,HA0,20
Brent Park,Brent,LONDON,NW10,20
Brondesbury,Brent,LONDON,NW6,20
Church End,Brent,LONDON,NW10,20
Dollis Hill,Brent,LONDON,NW2,20
Harlesden,Brent,LONDON,NW10,20
Kensal Green,Brent,LONDON,"NW10, NW6",20
Kingsbury,Brent,LONDON,NW9,20
Neasden,Brent,LONDON,"NW2, NW10",20
Preston,Brent,WEMBLEY,HA9,20
Queen's Park,Brent,LONDON,NW6,20
Tokyngton,Brent,WEMBLEY,HA9,20
Wembley,Brent,WEMBLEY,"HA0, HA9",20
Wembley Park,Brent,WEMBLEY,HA9,20
Willesden,Brent,LONDON,NW10,20
Park Royal,Brent and Ealing,LONDON,NW10,20
Kenton,Brent and Harrow,HARROW,HA3,20
Kilburn,"Brent, Camden",LONDON,NW6,20
Sudbury,"Brent, Harrow, Ealing","HARROW, WEMBLEY","HA0, HA1",20
Anerley,Bromley,LONDON,SE20,20
Aperfield,Bromley,WESTERHAM,TN16,1959
Beckenham,Bromley,"BECKENHAM, LONDON","BR3, SE20",20
Bickley,Bromley,BROMLEY,BR3,20
Biggin Hill,Bromley,WESTERHAM,TN16,1959
Bromley,Bromley,BROMLEY,BR1,20
Bromley Common,Bromley,BROMLEY,BR3,20
Chelsfield,Bromley,ORPINGTON,BR6,1689
Chislehurst,Bromley,CHISLEHURST,BR7,20
Coney Hall,Bromley,WEST WICKHAM,BR4,20
Crystal Palace,Bromley,LONDON,"SE19, SE20, SE26",20
Cudham,Bromley,SEVENOAKS,TN14,1959
Derry Downs,Bromley,ORPINGTON,BR5,1689
Downe,Bromley,ORPINGTON,BR6,1689
Eden Park,Bromley,BECKENHAM,BR3,20
Elmers End,Bromley,BECKENHAM,BR3,20
Elmstead,Bromley,CHISLEHURST,BR7,20
Goddington,Bromley,ORPINGTON,BR6,1689
Hayes,Bromley,BROMLEY,BR2,20
Hazelwood,Bromley,ORPINGTON,BR6,1689
Keston,Bromley,KESTON,BR2,1698
Leaves Green,Bromley,KESTON,BR2,1689
