user_id;screen_name;created_at;timestamp;text_tweet;amount_tweeted;language;location;primary_geo
2324422680;WeatherWoking;Thu Apr 19 17:00:00 +0000 2018;1524157200469;Tmp 26.1°C Wind 8mph Press 1014.0mb Cloud 8584 ft Rain 0.0mm Humidity 26% Fine weather #UKWeather;31.0;en;Woking, South East;51.33222222, -0.55777778
152434344;NewhavenTownWx;Thu Apr 19 17:00:01 +0000 2018;1524157201260;Wind 0.0 kts N. Barometer 1022.6 hPa, Falling slowly. Temperature 19.1 °C. Rain today 0.0mm. Humidity 54%;6.0;en;;50.8, 0.04666667
404401437;ThurrockWeather;Thu Apr 19 17:00:01 +0000 2018;1524157201291;"19/1800 
Fcast:Fairly fine, occasional showers later
Temp:23.6°C/WindChill:23.6°C
Rain2Day0.0mm
Baro:1023.0hpa Falling slowly
WindGust";6.0;en;South Ockendon, Essex;51.49972222, 0.25027778
2789607056;ProforcaTheatre;Thu Apr 19 17:00:02 +0000 2018;1524157202559;Delighted to have @em_c_wroe and @MitchellReeve_ back in the family for our performance of #ProforcaFeel next Wedne… https://t.co/G9d04o2adY;1.0;en;London;Hackney, London, United Kingdom
72431972;ElmsteadWeather;Thu Apr 19 17:00:03 +0000 2018;1524157203059;"Wind 2.2 mph S
Barometer 1037.7 mb,Falling slowly 
Temperature 22.6 .C 
Rain today 0.0 mm 
Humidity 40%
SolarRad 0W/m2
UV 0
#ukweathe";10.0;en;Elmstead, Essex;51.87472222, 0.98694444
2726908793;dovelymal;Thu Apr 19 17:00:03 +0000 2018;1524157203701;Fun fact pikachu harrassed me;2.0;et;England, United Kingdom;Trafalgar Square, United Kingdom
2827419681;SolarSchols;Thu Apr 19 17:00:03 +0000 2018;1524157203789;#weatherhutton #essex Unsettled, precipitation later Temp 25.7°C Humid 43% Wind 1.0mph ESE Baro 1021.95 hPa Falling slowly Rain Today 0.0mm;6.0;en;Hutton, England;51.63166667, 0.35861111
20500385;calvinc83;Thu Apr 19 17:00:03 +0000 2018;1524157203821;"I am going through a typical British reaction to two days of warm weather. 

1. Over bought and set up new outdoor… https://t.co/AFMWjVzIKF";2.0;en;;Kingston upon Thames, London, United Kingdom
1228342933;TheEForumAngelM;Thu Apr 19 17:00:04 +0000 2018;1524157204055;Come back ?;6.0;en;London;Camden Town, London, United Kingdom
367022159;sgweather1;Thu Apr 19 17:00:04 +0000 2018;1524157204112;30.1°C Wind:2.2mph Pressure:1024.4hpa Falling slowly Rain today:0.0mm UV:1 Forecast:Settled fine. 23902.0 Lux;11.0;en;Seer Green;51.61722222, -0.60111111
67586086;CassyLee88;Thu Apr 19 17:00:04 +0000 2018;1524157204447;@Jennifer_deG The sentiment is clear as day don’t you worry;7.0;en;London;London, England, United Kingdom
213372462;spinojix22;Thu Apr 19 17:00:05 +0000 2018;1524157205272;The spring heat wave.... I asked for it ?;1.0;en;Hackney, London;Hackney, London, United Kingdom
3639231;davidmcdermott;Thu Apr 19 17:00:05 +0000 2018;1524157205892;How the hell it can even go on strike is beyond me, but real shame on you @LondonDLR @TfL for trying to disrupt the marathon #disgrace ??;2.0;en;London, England;East Ham, London, United Kingdom
218855384;danrickman86;Thu Apr 19 17:00:06 +0000 2018;1524157206088;It’s getting closer! #nb #newbalance #londonmarathon2018 #heatwave @ ExCeL London https://t.co/Q3DLnDJ00z;1.0;en;;51.5080414, 0.02394
896134051;CherieW2010;Thu Apr 19 17:00:08 +0000 2018;1524157208672;@B25dave @DavidLammy It’s one less thing for you to worry about @B25dave ... plenty of people fighting their corner… https://t.co/oxKPVfJOKH;1.0;en;England, United Kingdom;Wandsworth, London, United Kingdom
146533654;damian_mitchell;Thu Apr 19 17:00:08 +0000 2018;1524157208705;@MundialMag ? ???;2.0;und;London, England;Camden Town, London, United Kingdom
